経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, E, SBP, DBP
56.516, 9.2149, 85.3485, -0.5378, -0.4889, 3.5071, 121.31, 91.77
57.150, 8.9259, 89.4188, -0.5179, -0.4721, 4.0244, 125.74, 92.36
57.893, 9.2330, 85.3485, -0.6761, -0.4171, 3.4488, 118.35, 89.13
58.610, 9.3987, 93.7500, -0.5774, -0.3997, 3.4792, 112.67, 77.59
59.991, 9.4138, 83.6820, -0.5042, -0.4136, 4.0235, 124.56, 90.75
60.726, 8.6853, 83.2178, -0.6471, -0.4480, 3.2824, 115.10, 84.95
61.458, 9.3038, 90.3614, -0.5837, -0.4041, 4.2429, 124.48, 87.36
62.136, 9.2720, 82.5309, -0.4959, -0.4057, 3.8832, 121.32, 86.43
62.866, 9.2078, 80.8625, -0.6824, -0.4372, 3.8092, 123.13, 91.69
65.803, 5.7995, 74.6269, -0.5425, -0.4068, 2.4251, 106.99, 76.46
66.473, 9.3454, 100.1669, -0.5417, -0.4514, 4.2200, 127.46, 92.67
67.812, 9.3037, 89.9550, -0.5910, -0.3448, 1.8862, 94.25, 66.13
68.509, 5.9468, 94.0439, -0.5619, -0.3286, 2.4583, 95.82, 62.16
69.245, 9.2648, 86.4553, -0.5667, -0.4261, 3.9033, 120.16, 87.17
69.916, 9.3908, 85.7143, -0.4925, -0.4478, 3.7985, 121.45, 87.47
70.682, 9.2562, 81.7439, -0.6379, -0.4426, 3.7291, 123.15, 92.18
71.387, 9.2651, 89.0208, -0.5157, -0.4308, 3.8461, 119.86, 83.13
72.054, 8.1990, 78.9474, -0.5625, -0.4219, 4.0237, 124.70, 89.99
72.820, 9.0970, 85.1064, -0.6432, -0.3958, 2.9075, 108.91, 78.52
73.552, 9.3244, 88.8889, -0.4726, -0.4308, 3.3045, 111.56, 76.52
74.897, 8.9269, 81.8554, -0.4952, -0.4052, 3.5695, 124.04, 92.23
75.590, 6.4342, 94.0439, -0.5603, -0.4667, 2.7511, 105.73, 73.11
76.228, 8.8678, 85.7143, -0.5700, -0.4286, 4.6712, 133.03, 96.59
76.900, 8.8678, 85.7143, -0.5690, -0.3621, 2.9645, 108.74, 78.80
78.368, 9.5445, 89.8204, -0.4420, -0.5893, 3.4719, 115.93, 84.80
79.637, 7.5086, 90.0901, -0.5955, -0.3970, 3.4305, 122.02, 93.30
80.307, 8.9585, 113.2075, -0.4886, -0.4441, 4.4507, 127.35, 90.98
80.948, 8.9585, 80.6452, -0.5910, -0.4433, 4.4507, 127.35, 90.98
81.643, 8.7075, 89.6861, -0.6693, -0.3588, 3.3104, 112.41, 81.12
82.375, 9.3412, 93.6037, -0.6173, -0.3799, 3.2328, 107.76, 74.92
83.081, 9.1792, 86.4553, -0.5410, -0.4057, 3.8268, 118.30, 83.46
83.712, 9.2896, 81.7439, -0.5142, -0.4207, 4.2565, 127.54, 93.45
85.209, 9.3349, 95.0872, -0.6799, -0.4707, 3.4647, 115.44, 84.71
85.882, 9.2623, 77.7202, -0.5000, -0.4077, 3.7864, 117.47, 81.36
86.585, 9.2561, 82.3045, -0.5884, -0.4413, 4.0198, 125.53, 94.18
88.021, 9.3689, 85.2273, -0.5164, -0.4225, 3.6004, 114.86, 80.32
88.691, 6.1201, 77.9221, -0.5434, -0.4446, 2.5659, 101.67, 70.50
90.165, 9.4386, 90.0901, -0.4910, -0.5418, 3.7035, 117.00, 83.60
90.830, 7.3093, 74.7198, -0.4413, -0.4903, 2.9171, 111.53, 81.34
91.527, 6.7516, 90.0901, -0.5467, -0.5467, 3.0954, 113.61, 84.00
